"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","260990009","1","10.5","ug/m3 LC","44","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/04/2017","AQS","260990009","1","4","ug/m3 LC","17","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/07/2017","AQS","260990009","1","9.7","ug/m3 LC","40","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/10/2017","AQS","260990009","1","7.6","ug/m3 LC","32","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/13/2017","AQS","260990009","1","6.5","ug/m3 LC","27","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/16/2017","AQS","260990009","1","30","ug/m3 LC","89","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/19/2017","AQS","260990009","1","13.5","ug/m3 LC","54","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/22/2017","AQS","260990009","1","8.9","ug/m3 LC","37","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/25/2017","AQS","260990009","1","8","ug/m3 LC","33","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/28/2017","AQS","260990009","1","11.2","ug/m3 LC","47","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/31/2017","AQS","260990009","1","8.6","ug/m3 LC","36","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/03/2017","AQS","260990009","1","8.3","ug/m3 LC","35","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/06/2017","AQS","260990009","1","17","ug/m3 LC","61","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/09/2017","AQS","260990009","1","3.5","ug/m3 LC","15","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/12/2017","AQS","260990009","1","16.3","ug/m3 LC","60","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/15/2017","AQS","260990009","1","2.6","ug/m3 LC","11","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/18/2017","AQS","260990009","1","9.7","ug/m3 LC","40","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/21/2017","AQS","260990009","1","13.1","ug/m3 LC","53","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/24/2017","AQS","260990009","1","7.8","ug/m3 LC","33","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/27/2017","AQS","260990009","1","9.3","ug/m3 LC","39","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/02/2017","AQS","260990009","1","2.5","ug/m3 LC","10","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/05/2017","AQS","260990009","1","3.4","ug/m3 LC","14","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/08/2017","AQS","260990009","1","3.4","ug/m3 LC","14","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/11/2017","AQS","260990009","1","3","ug/m3 LC","13","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/14/2017","AQS","260990009","1","3.1","ug/m3 LC","13","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/17/2017","AQS","260990009","1","13.3","ug/m3 LC","54","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/20/2017","AQS","260990009","1","13.6","ug/m3 LC","54","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/23/2017","AQS","260990009","1","5.3","ug/m3 LC","22","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/26/2017","AQS","260990009","1","9","ug/m3 LC","38","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/29/2017","AQS","260990009","1","3.8","ug/m3 LC","16","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/01/2017","AQS","260990009","1","4","ug/m3 LC","17","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/04/2017","AQS","260990009","1","3.1","ug/m3 LC","13","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/07/2017","AQS","260990009","1","2","ug/m3 LC","8","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/10/2017","AQS","260990009","1","8.5","ug/m3 LC","35","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/13/2017","AQS","260990009","1","3.5","ug/m3 LC","15","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/16/2017","AQS","260990009","1","5.4","ug/m3 LC","23","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/19/2017","AQS","260990009","1","6.9","ug/m3 LC","29","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/22/2017","AQS","260990009","1","2.8","ug/m3 LC","12","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/25/2017","AQS","260990009","1","4.2","ug/m3 LC","18","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"04/28/2017","AQS","260990009","1","4.9","ug/m3 LC","20","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/01/2017","AQS","260990009","1","4.9","ug/m3 LC","20","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/04/2017","AQS","260990009","1","4.7","ug/m3 LC","20","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/07/2017","AQS","260990009","1","2.6","ug/m3 LC","11","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/10/2017","AQS","260990009","1","4.7","ug/m3 LC","20","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/13/2017","AQS","260990009","1","7.8","ug/m3 LC","33","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/16/2017","AQS","260990009","1","8.1","ug/m3 LC","34","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/19/2017","AQS","260990009","1","2.4","ug/m3 LC","10","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/22/2017","AQS","260990009","1","4.6","ug/m3 LC","19","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/25/2017","AQS","260990009","1","3.4","ug/m3 LC","14","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/28/2017","AQS","260990009","1","8.3","ug/m3 LC","35","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"05/31/2017","AQS","260990009","1","4.8","ug/m3 LC","20","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"06/03/2017","AQS","260990009","1","4.6","ug/m3 LC","19","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"06/06/2017","AQS","260990009","1","3.1","ug/m3 LC","13","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"06/09/2017","AQS","260990009","1","7.6","ug/m3 LC","32","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"06/12/2017","AQS","260990009","1","13","ug/m3 LC","53","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
