time,cases,7_avg
Sep  2 2020,42368,41790
Sep  3 2020,45445,41562
Sep  4 2020,51324,42171
Sep  5 2020,41703,42264
Sep  6 2020,33714,41835
Sep  7 2020,25077,39815
Sep  8 2020,28634,38323
Sep  9 2020,35309,37315
Sep 10 2020,38872,36376
Sep 11 2020,44376,35383
Sep 12 2020,40275,35179
Sep 13 2020,33006,35078
Sep 14 2020,34666,36448
Sep 15 2020,37183,37669
Sep 16 2020,44829,39029
Sep 17 2020,45405,39962
Sep 18 2020,48160,40503
Sep 19 2020,42504,40821
Sep 20 2020,34286,41004
Sep 21 2020,41739,42015
Sep 22 2020,50045,43852
Sep 23 2020,42684,43546
Sep 24 2020,46382,43685
Sep 25 2020,50205,43977
Sep 26 2020,42885,44032
Sep 27 2020,35269,44172
Sep 28 2020,39251,43817
Sep 29 2020,38961,42233
Sep 30 2020,45998,42707
Oct  1 2020,47512,42868
Oct  2 2020,51185,43008
Oct  3 2020,48036,43744
Oct  4 2020,35616,43794
Oct  5 2020,41751,44151
Oct  6 2020,41943,44577
Oct  7 2020,54337,45768
Oct  8 2020,55685,46936
Oct  9 2020,59179,48078
Oct 10 2020,54010,48931
Oct 11 2020,44782,50241
Oct 12 2020,50066,51428
Oct 13 2020,50591,52664
Oct 14 2020,58073,53198
Oct 15 2020,63148,54264
Oct 16 2020,69424,55727
Oct 17 2020,54754,55834
Oct 18 2020,49116,56453
Oct 19 2020,62074,58168
Oct 20 2020,59149,59391
Oct 21 2020,70215,61125
Oct 22 2020,75043,62825
Oct 23 2020,82963,64759
Oct 24 2020,76533,67870
Oct 25 2020,65967,70277
Oct 26 2020,69962,71404
Oct 27 2020,76006,73812
Oct 28 2020,85092,75938
Oct 29 2020,91554,78296
Oct 30 2020,98071,80455
Oct 31 2020,93381,82861
Nov  1 2020,74292,84051
Nov  2 2020,87547,86563
Nov  3 2020,98919,89836
Nov  4 2020,114995,94108
Nov  5 2020,123760,98709
Nov  6 2020,134454,103906
Nov  7 2020,129469,109062
Nov  8 2020,111919,114437
Nov  9 2020,125316,119833
Nov 10 2020,147660,126796
Nov 11 2020,154286,132409
Nov 12 2020,162880,137997
Nov 13 2020,178169,144242
Nov 14 2020,164361,149227
Nov 15 2020,139671,153191
Nov 16 2020,153120,157163
Nov 17 2020,167782,160038
Nov 18 2020,171722,162529
Nov 19 2020,190435,166465
Nov 20 2020,194842,168847
Nov 21 2020,174418,170284
Nov 22 2020,151254,171939
Nov 23 2020,159973,172918
Nov 24 2020,175823,174066
Nov 25 2020,195691,177490
Nov 26 2020,144824,170975
Nov 27 2020,165968,166850
Nov 28 2020,144519,162578
Nov 29 2020,141555,161193
Nov 30 2020,152692,160153
Dec  1 2020,193342,162655
Dec  2 2020,210133,164719
Dec  3 2020,218463,175238
Dec  4 2020,225975,183811
Dec  5 2020,206749,192701
Dec  6 2020,177568,197846
Dec  7 2020,183766,202285
Dec  8 2020,227937,207227
Dec  9 2020,222551,209001
Dec 10 2020,209231,207682
Dec 11 2020,247444,210749
Dec 12 2020,216872,212195
Dec 13 2020,181603,212772
Dec 14 2020,198288,214846
Dec 15 2020,200665,210950
Dec 16 2020,241849,213707
Dec 17 2020,247211,219133
Dec 18 2020,237278,217680
Dec 19 2020,203069,215709
Dec 20 2020,187635,216570
Dec 21 2020,183821,214504
Dec 22 2020,199108,214281
Dec 23 2020,226962,212154
Dec 24 2020,202822,205813
Dec 25 2020,159655,194724
Dec 26 2020,150141,187163
Dec 27 2020,154853,182480
Dec 28 2020,178466,181715
Dec 29 2020,209305,183172
Dec 30 2020,237847,184727
Dec 31 2020,230255,188646
Jan  1 2021,227596,198351
Jan  2 2021,227102,209346
Jan  3 2021,204830,216485
Jan  4 2021,175357,216041
Jan  5 2021,243776,220966
Jan  6 2021,259556,224067
Jan  7 2021,270164,229768
Jan  8 2021,293325,239158
Jan  9 2021,255951,243279
Jan 10 2021,224957,246155
Jan 11 2021,204538,250323
Jan 12 2021,218031,246646
Jan 13 2021,228273,242177
Jan 14 2021,223815,235555
Jan 15 2021,240118,227954
Jan 16 2021,213351,221869
Jan 17 2021,184331,216065
Jan 18 2021,151692,208515
Jan 19 2021,149969,198792
Jan 20 2021,188351,193089
Jan 21 2021,188611,188060
Jan 22 2021,191204,181072
Jan 23 2021,165138,174185
Jan 24 2021,144435,168485
Jan 25 2021,134345,166007
Jan 26 2021,146828,165558
Jan 27 2021,159389,161421
Jan 28 2021,156410,156821
Jan 29 2021,164601,153020
Jan 30 2021,137810,149116
Jan 31 2021,112577,144565
Feb  1 2021,129003,143802
Feb  2 2021,122060,140264
Feb  3 2021,108865,133046
Feb  4 2021,125433,128621
Feb  5 2021,124972,122960
Feb  6 2021,108864,118824
Feb  7 2021,92023,115888
Feb  8 2021,82408,109232
Feb  9 2021,91588,104879
Feb 10 2021,99175,103494
Feb 11 2021,99476,99786
Feb 12 2021,97877,95915
Feb 13 2021,84908,92493
Feb 14 2021,66791,88889
Feb 15 2021,58390,85457
Feb 16 2021,57464,80583
Feb 17 2021,63967,75553
Feb 18 2021,68577,71139
Feb 19 2021,73775,67696
Feb 20 2021,66195,65022
Feb 21 2021,55745,63444
Feb 22 2021,56467,63170
Feb 23 2021,70421,65021
Feb 24 2021,72828,66286
Feb 25 2021,71893,66760
Feb 26 2021,73587,66733
Feb 27 2021,68122,67009
Feb 28 2021,52149,66495
Mar  1 2021,51359,65765
Mar  2 2021,54402,63477
Mar  3 2021,66013,62503
Mar  4 2021,65545,61596
Mar  5 2021,64232,60260
Mar  6 2021,57691,58770
Mar  7 2021,43550,57541
Mar  8 2021,43399,56404
Mar  9 2021,52939,56195
Mar 10 2021,62161,55645
Mar 11 2021,60203,54882
Mar 12 2021,64287,54890
Mar 13 2021,52441,54140
Mar 14 2021,47459,54698
Mar 15 2021,43775,54752
Mar 16 2021,52006,54618
Mar 17 2021,61731,54557
Mar 18 2021,62887,54940
Mar 19 2021,62385,54669
Mar 20 2021,58407,55521
