Date,Price,Open,High,Low,Vol.,Change
17-Mar-19,137.53,141.15,141.87,133.05,77.10M,-2.56%
10-Mar-19,141.15,137.52,143.95,129.14,78.47M,2.63%
3-Mar-19,137.52,132.77,168.42,123.25,94.15M,3.59%
24-Feb-19,132.76,158.31,165.79,128.15,88.08M,-16.14%
17-Feb-19,158.3,122.88,159.31,122.78,59.72M,28.84%
10-Feb-19,122.87,119.44,126.17,116.42,41.65M,2.87%
3-Feb-19,119.44,110.67,122.58,102.28,44.09M,7.91%
27-Jan-19,110.68,115.83,116.24,101.6,38.12M,-4.45%
20-Jan-19,115.83,123,123.52,112.36,31.96M,-5.85%
13-Jan-19,123.02,123.75,130.3,112.79,23.75M,-0.59%
6-Jan-19,123.75,153.48,158.29,121.28,26.22M,-19.37%
30-Dec-18,153.49,133.64,159.78,129.51,30.58M,14.83%
23-Dec-18,133.67,115.85,158.27,112.59,44.99M,15.40%
16-Dec-18,115.84,83.9,118.67,83.89,35.27M,38.06%
9-Dec-18,83.9,90.56,98.76,81.97,28.22M,-7.36%
2-Dec-18,90.57,118.23,127.08,77.65,30.17M,-23.40%
25-Nov-18,118.23,114.42,126.6,102.8,34.99M,3.32%
18-Nov-18,114.43,176.53,182.07,111.79,30.94M,-35.18%
11-Nov-18,176.53,213.19,214.95,171.99,297.50M,-17.20%
4-Nov-18,213.21,200.27,224.64,199.38,212.10M,6.48%
28-Oct-18,200.23,204.36,205.79,193,96.58M,-2.02%
21-Oct-18,204.36,207.76,211.65,202.99,122.69M,-1.77%
14-Oct-18,208.04,201.22,235.83,195.4,160.37M,3.39%
7-Oct-18,201.22,225.19,232.66,188.65,11.42M,-10.64%
30-Sep-18,225.18,231.9,238.64,216.44,56.46M,-2.88%
23-Sep-18,231.87,240.82,249.02,204.84,42.56M,-3.71%
16-Sep-18,240.82,221.94,254.36,192.87,41.16M,8.50%
9-Sep-18,221.94,196.69,259.37,169.08,43.33M,12.78%
2-Sep-18,196.79,295.32,299.38,191.16,37.21M,-33.36%
26-Aug-18,295.31,277.61,301.92,269.75,32.61M,6.37%
19-Aug-18,277.61,293.9,306.3,266.4,29.14M,-5.54%
12-Aug-18,293.89,317.63,327.51,250.84,28.52M,-7.46%
5-Aug-18,317.59,407.11,413.4,305.19,10.62M,-21.98%
29-Jul-18,407.09,468.89,471.78,398.1,9.64M,-13.16%
22-Jul-18,468.78,461.51,484.97,448.14,8.61M,1.57%
15-Jul-18,461.52,434.09,515.2,432.59,9.70M,6.32%
8-Jul-18,434.09,485.4,494.03,418.71,9.95M,-10.57%
1-Jul-18,485.4,452.72,486.18,442.29,11.76M,7.23%
24-Jun-18,452.67,474.14,475.74,406.12,19.89M,-4.53%
17-Jun-18,474.14,496.95,547.5,450.72,7.04M,-4.59%
10-Jun-18,496.93,593.8,593.82,450.67,9.19M,-16.31%
3-Jun-18,593.8,591.33,627.51,577.53,5.11M,0.42%
27-May-18,591.3,586.63,598.78,507.72,7.42M,0.77%
20-May-18,586.76,696.73,722.92,547.39,7.28M,-15.79%
13-May-18,696.76,684.77,741.52,658.25,7.00M,1.87%
6-May-18,683.94,818.75,838.26,635.23,9.45M,-16.42%
29-Apr-18,818.33,683.49,830.03,630.33,7.47M,19.73%
22-Apr-18,683.49,605.58,711.74,591.78,9.39M,12.86%
15-Apr-18,605.59,502.52,623.86,498.87,7.30M,20.51%
8-Apr-18,502.52,384.85,528.71,384.85,7.87M,30.57%
1-Apr-18,384.87,394.1,418.78,359.49,6.45M,-2.31%
25-Mar-18,393.96,520.44,535.11,366.12,9.05M,-24.30%
18-Mar-18,520.45,549.96,589.83,454.9,8.50M,-5.42%
11-Mar-18,550.27,682.77,739.25,544.51,5.37M,-19.38%
4-Mar-18,682.52,855.91,870.27,644.46,5.08M,-20.26%
25-Feb-18,855.91,834.1,894.78,818.46,3.63M,2.58%
18-Feb-18,834.36,971.57,980.27,787.95,5.61M,-14.12%
11-Feb-18,971.54,851.44,972.86,778.9,5.82M,14.11%
4-Feb-18,851.39,971.49,972.66,568.78,13.83M,-12.36%
28-Jan-18,971.49,"1,114.70","1,264.80",766.82,9.42M,-12.86%
21-Jan-18,"1,114.80","1,146.30","1,146.30",905.38,4.35M,-2.72%
14-Jan-18,"1,146.00","1,379.90","1,385.00",770.1,8.35M,-16.96%
7-Jan-18,"1,380.00","1,004.30","1,423.20",968.12,7.31M,37.41%
31-Dec-17,"1,004.30",682.22,"1,023.60",675.56,6.23M,47.21%
24-Dec-17,682.22,672.59,766.06,560,5.52M,1.43%
17-Dec-17,672.59,683.25,863,492.01,10.27M,-1.56%
10-Dec-17,683.25,460.92,760,413.3,9.24M,48.24%
3-Dec-17,460.92,455.51,487.8,390,6.23M,1.19%
26-Nov-17,455.51,464,517,385.4,3.86M,-1.83%
19-Nov-17,464,346.68,481.99,343.28,4.74M,33.84%
12-Nov-17,346.68,313.07,350.4,293.33,4.59M,10.74%
5-Nov-17,313.07,299.48,328.8,285.01,5.48M,4.54%
29-Oct-17,299.48,293.49,314.4,275.21,3.84M,2.04%
22-Oct-17,293.49,299.23,311.85,273.5,2.71M,-1.92%
15-Oct-17,299.23,339.24,355,287.46,4.57M,-11.79%
8-Oct-17,339.24,311.46,350,287.03,4.29M,8.92%
1-Oct-17,311.46,303.44,315,285.12,2.80M,2.64%
24-Sep-17,303.44,285.9,315.51,275.41,4.37M,6.14%
17-Sep-17,285.9,253,299.89,239,5.70M,13.00%
10-Sep-17,253,303.08,316.73,198,10.66M,-16.52%
3-Sep-17,303.08,345,368.4,267.64,7.14M,-12.15%
27-Aug-17,345,332.72,395.03,325.1,3.93M,3.69%
20-Aug-17,332.72,292.78,346.99,285.01,3.74M,13.64%
13-Aug-17,292.78,307.22,312,272.29,3.71M,-4.70%
6-Aug-17,307.22,253.87,319.78,251,4.93M,21.01%
30-Jul-17,253.87,206.76,259.9,188.12,4.21M,22.78%
23-Jul-17,206.76,232.01,236.57,176.95,4.31M,-10.88%
16-Jul-17,232.01,170.15,258,136.12,11.92M,36.36%
9-Jul-17,170.15,245.23,249,169,6.37M,-30.62%
2-Jul-17,245.23,255,285.91,226.68,2.79M,-3.83%
25-Jun-17,255,296.89,318.27,204.11,5.59M,-14.11%
18-Jun-17,296.89,364.56,377.46,287.11,2.10M,-18.56%
11-Jun-17,364.56,325.88,412.21,265,4.43M,11.87%
4-Jun-17,325.88,217.01,341.94,216.1,2.23M,50.17%
28-May-17,217.01,149.99,230.55,149.66,3.16M,44.68%
21-May-17,149.99,123.03,206.06,110.42,6.35M,21.91%
14-May-17,123.03,89.9,129.25,83.77,2.71M,36.85%
7-May-17,89.9,96.65,98,77.76,2.07M,-6.98%
30-Apr-17,96.65,73.55,101.7,66,4.26M,31.41%
23-Apr-17,73.55,52.15,77.6,51.75,2.98M,41.04%
16-Apr-17,52.15,49.71,53,45,1.97M,4.91%
9-Apr-17,49.71,44.51,51.51,43.01,2.29M,11.68%
2-Apr-17,44.51,50.59,51.59,41.05,4.57M,-12.02%
26-Mar-17,50.59,50.75,54.3,46.55,3.54M,-0.32%
19-Mar-17,50.75,34.2,58.99,34.1,6.82M,48.39%
12-Mar-17,34.2,21.3,51.88,21.05,13.20M,60.56%
5-Mar-17,21.3,18.5,21.45,16.25,3.10M,15.14%
26-Feb-17,18.5,13.55,20.73,13.3,3.93M,36.53%
19-Feb-17,13.55,12.79,13.8,12.25,904.54K,5.94%
12-Feb-17,12.79,11.33,13.4,11.05,1.28M,12.89%
5-Feb-17,11.33,11.32,11.6,10.41,732.95K,0.09%
29-Jan-17,11.32,10.49,11.4,10.38,919.47K,7.71%
22-Jan-17,10.51,10.91,10.98,10.34,574.98K,-4.02%
15-Jan-17,10.95,9.67,11.09,9.53,609.65K,13.24%
8-Jan-17,9.67,9.8,10.84,9.08,716.75K,-1.73%
1-Jan-17,9.84,8.17,11.7,8.03,8.38M,23.00%
25-Dec-16,8,7.25,8.6,7.05,861.95K,10.34%
18-Dec-16,7.25,7.88,7.96,7.11,469.44K,-6.21%
11-Dec-16,7.73,8.14,8.63,7.47,489.40K,-4.80%
4-Dec-16,8.12,7.85,8.84,5.86,1.32M,2.65%
27-Nov-16,7.91,9.33,9.33,7.1,1.20M,-15.22%
20-Nov-16,9.33,9.68,10.26,8.7,361.91K,-4.11%
13-Nov-16,9.73,10.01,10.5,9.46,441.48K,-2.80%
6-Nov-16,10.01,11.15,11.27,9.7,327.51K,-10.38%
30-Oct-16,11.17,10.38,11.53,10.31,619.35K,7.61%
23-Oct-16,10.38,12.25,12.26,9.5,851.64K,-15.54%
16-Oct-16,12.29,12.01,12.91,11.81,603.90K,2.33%
9-Oct-16,12.01,12.26,12.56,11.6,846.39K,-2.04%
2-Oct-16,12.26,13.18,13.5,12,477.28K,-6.98%
25-Sep-16,13.18,12.86,13.49,12.77,378.16K,2.49%
18-Sep-16,12.86,12.73,15.4,12.26,1.34M,0.47%
11-Sep-16,12.8,12.13,12.87,11.6,1.37M,5.52%
4-Sep-16,12.13,11.88,12.18,11.26,560.81K,1.00%
28-Aug-16,12.01,11.11,12.6,10.78,410.28K,7.23%
21-Aug-16,11.2,11.26,11.42,10.9,354.94K,-0.53%
14-Aug-16,11.26,11.48,11.67,10.61,1.34M,-1.92%
7-Aug-16,11.48,10.16,12.33,10.16,1.12M,12.99%
31-Jul-16,10.16,12.45,12.55,9.9,1.62M,-18.85%
24-Jul-16,12.52,14.33,14.44,11.78,4.79M,-12.14%
17-Jul-16,14.25,11.72,15.15,11.01,5.90M,21.59%
10-Jul-16,11.72,10.83,12.55,10.2,1.72M,7.52%
3-Jul-16,10.9,12.06,12.11,9.35,3.05M,-10.21%
26-Jun-16,12.14,14.22,14.4,11.51,2.27M,-15.16%
19-Jun-16,14.31,10.76,15.9,10.51,6.07M,25.42%
12-Jun-16,11.41,14.3,21.69,10.13,11.77M,-19.36%
5-Jun-16,14.15,13.75,14.89,13.56,1.01M,2.46%
29-May-16,13.81,11.8,14.3,11.78,1.88M,15.28%
22-May-16,11.98,14.06,14.51,10.38,2.42M,-14.43%
15-May-16,14,10.25,14.89,9.93,2.20M,37.80%
8-May-16,10.16,9.41,11.11,9,744.33K,8.66%
1-May-16,9.35,8.74,10.3,8.35,756.64K,5.41%
24-Apr-16,8.87,8.35,9.36,7.12,867.38K,4.85%
17-Apr-16,8.46,8.7,10.9,7.73,569.35K,-0.94%
10-Apr-16,8.54,9.15,9.43,6.86,534.18K,-6.67%
3-Apr-16,9.15,11.61,11.76,9,292.70K,-21.19%
27-Mar-16,11.61,10.93,12.3,10.17,284.70K,5.55%
20-Mar-16,11,10.55,12.47,9.56,279.69K,6.69%
13-Mar-16,10.31,12.92,15.07,8.34,466.81K,-20.20%
