DATE,IPN31152N
1991-05-01,128.3360
1991-06-01,157.9833
1991-07-01,141.1193
1991-08-01,136.1020
1991-09-01,121.3660
1991-10-01,104.0893
1991-11-01,92.1657
1991-12-01,89.2767
1992-01-01,90.5032
1992-02-01,110.7514
1992-03-01,131.8741
1992-04-01,135.6348
1992-05-01,143.2373
1992-06-01,158.7827
1992-07-01,147.5228
1992-08-01,144.3860
1992-09-01,127.4563
1992-10-01,109.8598
1992-11-01,99.6414
1992-12-01,93.2646
1993-01-01,95.6690
1993-02-01,123.8312
1993-03-01,134.0437
1993-04-01,141.2124
1993-05-01,151.0478
1993-06-01,165.6178
1993-07-01,159.9179
1993-08-01,152.7178
1993-09-01,128.7124
1993-10-01,109.9243
1993-11-01,96.6277
1993-12-01,90.8060
1994-01-01,99.8056
1994-02-01,120.0998
1994-03-01,134.6913
1994-04-01,141.7214
1994-05-01,145.2635
1994-06-01,159.7445
1994-07-01,156.3534
1994-08-01,144.0006
1994-09-01,121.6988
1994-10-01,110.2728
1994-11-01,102.3903
1994-12-01,94.4189
1995-01-01,105.2693
1995-02-01,122.9618
1995-03-01,139.2934
1995-04-01,150.5009
1995-05-01,149.1533
1995-06-01,174.9847
1995-07-01,173.5360
1995-08-01,165.2297
1995-09-01,138.3647
1995-10-01,127.4039
1995-11-01,108.4171
1995-12-01,96.0759
1996-01-01,109.1198
1996-02-01,129.8420
1996-03-01,145.8963
1996-04-01,152.4650
1996-05-01,157.5106
1996-06-01,184.7306
1996-07-01,169.9422
1996-08-01,153.3894
1996-09-01,136.6672
1996-10-01,113.5515
1996-11-01,97.7307
1996-12-01,94.7297
1997-01-01,103.8988
1997-02-01,127.5303
1997-03-01,138.4992
1997-04-01,137.9532
1997-05-01,142.1142
1997-06-01,158.8850
1997-07-01,146.7850
1997-08-01,137.9626
1997-09-01,116.8539
1997-10-01,105.8220
1997-11-01,94.8087
1997-12-01,83.8164
1998-01-01,96.8899
1998-02-01,118.6278
1998-03-01,129.7967
1998-04-01,134.8158
1998-05-01,141.0214
1998-06-01,149.7686
1998-07-01,139.7470
1998-08-01,130.3340
1998-09-01,115.1135
1998-10-01,96.9113
1998-11-01,82.5264
1998-12-01,78.9362
1999-01-01,86.6677
1999-02-01,100.9395
1999-03-01,106.7335
1999-04-01,113.0032
1999-05-01,116.6177
1999-06-01,129.2258
1999-07-01,122.4855
1999-08-01,119.9992
1999-09-01,103.8430
1999-10-01,92.4122
1999-11-01,84.5961
1999-12-01,79.7754
2000-01-01,93.6509
2000-02-01,111.6605
2000-03-01,125.4901
2000-04-01,137.0016
2000-05-01,136.0743
2000-06-01,150.6464
2000-07-01,145.9440
2000-08-01,132.2916
2000-09-01,117.5879
2000-10-01,114.1243
2000-11-01,92.9452
2000-12-01,88.8077
2001-01-01,101.7030
2001-02-01,116.3416
2001-03-01,123.0615
2001-04-01,134.7954
2001-05-01,132.3796
