Beta_o,Beta_b,Beta_or,Beta_r,mu_EI_o,mu_IR_o,mu_EI_b,mu_IR_r,mu_IR_b,rho,k,eta,N,loglik,loglik.se
67.04190017933749,51.39843211253952,0.7644012369610997,66.5755810538681,0.08283029286188921,0.02,0.03233785161473694,0.02,0.01,0.5952648191807527,10,0.10089005899556731,84340000,-2308.628295509888,0.01225063605425693
62.35082368678964,53.8029921195762,0.7706286094083095,63.19265212793835,0.0884697051306527,0.02,0.03244191801839898,0.02,0.01,0.5981739484198958,10,0.09996147457517064,84340000,-2311.019859041932,0.02654524519868032
129.26195782617992,150.55088473029863,2.7099435539792904,107.7155138719652,0.03632295256524215,0.05,0.0283282807139492,0.03,0.01,0.8739939846801836,10,0.07095757649532998,84340000,-2311.344760945838,0.05542649040541334
129.26195782617992,150.55088473029863,2.7099435539792904,107.7155138719652,0.03632295256524215,0.05,0.0283282807139492,0.03,0.01,0.8739939846801836,10,0.07095757649532998,84340000,-2311.344760945838,0.055426490405413344
116.1340764797829,74.04798773015763,12.014349099872716,107.27399172079896,0.03515001072719218,0.05,0.02637879070435831,0.03,0.01,0.6471153612333236,10,0.09246971539538286,84340000,-2312.234539414266,0.05034678252187962
116.1340764797829,74.04798773015763,12.014349099872716,107.27399172079897,0.035150010727192184,0.05,0.02637879070435831,0.03,0.01,0.6471153612333236,10,0.09246971539538286,84340000,-2312.234539414266,0.05034678252187962
61.32237105163258,39.65611821178122,0.8813470968297755,74.62384607400158,0.09214643985111402,0.02,0.02921312108403844,0.02,0.01,0.6156876975710199,10,0.10006488848446712,84340000,-2313.5653572327647,0.0138777652459144
59.91284307515352,38.7076920143178,0.6419256814439255,75.87902650638534,0.09460929323872372,0.02,0.0293986704923893,0.02,0.01,0.6009968744902525,10,0.1001780736920472,84340000,-2313.6197960975355,0.02082269183248338
58.59602906882952,53.35033389840431,1.0088596376346912,69.28359414414238,0.09746303412233824,0.02,0.03208982254296292,0.02,0.01,0.6042810387709006,10,0.09957797945925904,84340000,-2315.562326923584,0.03034702325611027
188.21011146425525,69.8254615357983,4.873093710654743,153.9894709814142,0.03357155658992589,0.05,0.03848090582828508,0.03,0.01,0.9473640240483044,10,0.05154716584617487,84340000,-2317.581363372512,0.07522782307820321
188.21011146425525,69.8254615357983,4.873093710654743,153.9894709814142,0.03357155658992589,0.05,0.03848090582828508,0.03,0.01,0.9473640240483044,10,0.05154716584617487,84340000,-2317.581363372512,0.07522782307820321
58.36654090880117,46.660459766626005,0.9141272997291616,59.705668985546765,0.09824464688992685,0.02,0.03309491472652675,0.02,0.01,0.5998567970922422,10,0.10018814179736446,84340000,-2317.6954377563047,0.0183780698813741
53.86139835221598,67.6393186083471,0.8395416666543845,76.8103401209615,0.10495668310980084,0.02,0.02921730160295915,0.02,0.01,0.6103846350074837,10,0.10039835287486765,84340000,-2318.469343899371,0.01647998525720118
108.6828609135089,113.3271894692319,5.927751105875378,46.61256287307162,0.03060481435028922,0.05,0.03580475155359607,0.03,0.01,0.4080932324559766,10,0.13856285684967176,84340000,-2319.8998382706714,0.03706614792795795
108.6828609135089,113.3271894692319,5.927751105875378,46.61256287307162,0.030604814350289222,0.05,0.03580475155359607,0.03,0.01,0.4080932324559766,10,0.13856285684967176,84340000,-2319.8998382706714,0.037066147927957954
55.02577852374855,38.67561126287386,1.001118180240462,62.64102218314949,0.10359440272556206,0.02,0.03086803225199924,0.02,0.01,0.6198432495715536,10,0.09992091572110272,84340000,-2320.3771668870436,0.01900622891889859
48.251534352760856,49.86586691016422,0.9701492073289948,75.24693415800152,0.1124038194398348,0.02,0.03015740278423813,0.02,0.01,0.6225838806920769,10,0.09983479765250304,84340000,-2320.8654626952716,0.02304554921000824
49.93830983999736,47.5432035038575,1.0302743542430448,73.49708680633654,0.11199254772126488,0.02,0.02887828909616315,0.02,0.01,0.6259421598250499,10,0.100015550958494,84340000,-2321.7973651447505,0.0282295804298122
50.48371266980105,44.36519621127286,1.0856428741444957,62.803091239837634,0.11072779958987251,0.02,0.03090018325489647,0.02,0.01,0.6211235820801895,10,0.09971315990236064,84340000,-2322.138822381401,0.0275944755296233
52.26564700510325,45.78086891309608,0.8377411490740285,65.31157244945959,0.11020173184625803,0.02,0.03252785530943254,0.02,0.01,0.6000270945533669,10,0.10055359793640084,84340000,-2322.4455141864723,0.02238518139206162
50.4895800342516,55.40687137567068,0.8200609487106655,78.6199555036245,0.11248888914162762,0.02,0.02865130469366614,0.02,0.01,0.624444590442798,10,0.10035983170319412,84340000,-2322.453989478173,0.02539462406369228
47.74840977917515,56.46467288075529,0.963152595919713,77.25924196545799,0.11716019296213093,0.02,0.0293160487473881,0.02,0.01,0.6105627344298982,10,0.10037811938469188,84340000,-2322.544501647994,0.01885111629475389
88.4365085384641,107.46781416770378,1.5946254714337873,59.8849830524981,0.03440594426811134,0.05,0.0318993921687813,0.03,0.01,0.3770371100503712,10,0.15471926257676,84340000,-2323.2267190293182,0.03725477143032446
88.4365085384641,107.46781416770378,1.5946254714337873,59.8849830524981,0.034405944268111346,0.05,0.0318993921687813,0.03,0.01,0.3770371100503712,10,0.15471926257676,84340000,-2323.2267190293182,0.03725477143032446
92.47118262384744,105.9421053012144,4.493597982507541,70.59693034471202,0.03281080901204884,0.05,0.02703735252329403,0.03,0.01,0.3664250767117549,10,0.15969319945064456,84340000,-2323.5296562113745,0.05771576626287831
