beta0,beta1,rho,eta,psi,N,mu_EI,mu_IR,loglik,loglik.se
0.5819207097105533,0.312912150354925,0.9950239019795787,0.3019393827505603,0.643257767630391,9987000.000000017,0.3299999999999994,0.1399999999999991,-1155.0695788151625,0.0254939159871616
0.5325253439004737,0.27336944949598135,0.9885877726020054,0.33515790068139756,0.5551062094513781,9987000.00000003,0.3300000000000001,0.13999999999999965,-1155.1494340626198,0.052465433274315125
0.5549248593521484,0.2731847726616876,0.9793201751378331,0.3324807203165277,0.5389789062493986,9986999.999999978,0.3299999999999999,0.1400000000000004,-1155.3829245758957,0.10731554663051723
0.4229392749032133,0.1965974388628043,0.9952925713660483,0.43999632130312777,0.5744271583421979,9987000.000000002,0.3299999999999999,0.13999999999999987,-1155.3972660053469,0.1352003411237358
0.5362407051804831,0.2713067336611298,0.995316328000675,0.33468992637425377,0.5600583587799915,9987000.000000024,0.3300000000000001,0.1400000000000001,-1155.459927310385,0.08831588072696668
0.43993559110623226,0.21819603816690275,0.9791481111069913,0.4062316888632686,0.6780495670194145,9987000.000000028,0.3299999999999992,0.13999999999999968,-1155.7971525425348,0.05153908315538513
0.5595179175322771,0.2776527135592048,0.9901939944430386,0.3246670975289156,0.6053057932573438,9987000.000000026,0.3299999999999995,0.13999999999999935,-1155.873026905072,0.10950796563214528
0.44709015024134163,0.21593656394369837,0.9966097654873131,0.4104286880387441,0.4997632735934093,9987000,0.33000000000000024,0.14000000000000123,-1155.9146849593749,0.11997334119840081
0.4922961595930414,0.24081248165469843,0.9857372762245165,0.38131394182413214,0.5939866381245018,9987000.000000004,0.3299999999999999,0.14000000000000087,-1156.090502772806,0.018882880825620486
0.5300003478272408,0.25606560039890575,0.9111260824029701,0.350111836911152,0.5901326080219909,9987000.000000007,0.3300000000000007,0.13999999999999987,-1157.8776543733236,0.10142053416202684
0.603096247786918,0.2885214437769044,0.9474722297354776,0.3225357685461005,0.5622056947808852,9987000.00000001,0.32999999999999935,0.13999999999999976,-1157.8931272388888,0.031062574069947932
0.47032089708084684,0.2236196094163441,0.9529304717467677,0.4032236388328144,0.626330371713087,9986999.999999996,0.3299999999999996,0.14000000000000012,-1157.9808481392974,0.023750883230673026
0.48830609483571674,0.24115618044666573,0.980257718086607,0.3717842474597387,0.7162105974851994,9986999.999999987,0.33000000000000057,0.14000000000000018,-1158.0490116228557,0.018116860030007353
0.7172607105159904,0.39123026393865534,0.9565060188900347,0.24683670774216293,0.6796390371535334,9986999.999999993,0.33000000000000007,0.1399999999999998,-1158.115258873022,0.037815082147347426
0.5349319772637013,0.24706358987496188,0.9791680989470046,0.36055569160754597,0.522296306115143,9987000.000000004,0.3300000000000003,0.14000000000000065,-1158.1334477632065,0.19711748696301853
0.7041085031932437,0.35286819119827306,0.9846716652029236,0.27576379379992183,0.5482912661008212,9987000.000000002,0.3299999999999996,0.13999999999999954,-1158.7212708235877,0.019906664834906124
