Date,New_Report
1,122
2,60
3,14
4,65
5,7
6,68
7,14
8,44
9,74
10,27
11,67
12,53
13,87
14,33
15,72
16,23
17,79
18,18
19,48
20,22
21,133
22,35
23,51
24,47
25,105
26,71
27,8
28,122
29,64
30,12
31,132
32,25
33,0
34,58
35,42
36,13
37,0
38,38
39,30
40,6
41,0
42,6
43,16
44,15
45,0
46,6
47,8
48,3
49,14
50,0
51,0
52,3
53,3
54,14
55,10
56,0
57,2
58,4
59,18
60,15
61,0
62,13
63,7
64,46
65,0
66,11
67,8
68,27
69,7
70,0
71,5
72,2
73,24
74,4
75,19
76,9
77,18
78,0
79,25
80,7
81,31
82,0
83,30
84,10
85,46
86,9
87,0
88,22
89,19
90,4
91,0
92,21
93,10
94,47
95,4
96,19
97,5
98,0
99,7
100,2
101,7
102,3
103,0
104,8
105,1
106,9
107,4
108,1
109,2
110,2
111,4
112,0
113,3
114,0
115,3
116,1
