id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
7dc8ca27,2021-02-15,2569113,41484,2260840,20701760,5090351,3509151,1503545,8144,2493,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-16,2572743,41546,2257030,20718146,5115734,3521543,1515972,8250,2494,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-17,2577230,41650,2268067,20735314,5141184,3532128,1530446,10137,2497,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-18,2579584,41764,2279684,20754330,5187734,3553071,1555287,8294,2465,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-19,2585482,42000,2289773,20787783,5261779,3578920,1602079,8076,2413,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-20,2590989,42202,2312445,20831062,5354776,3615746,1656311,7765,2387,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-21,2597379,42321,2318193,20868097,5415967,3631178,1699745,7542,2200,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-22,2604710,42484,2331940,20924707,5537897,3668792,1780764,7667,2201,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-23,2614977,42728,2353741,21011421,5679043,3718670,1869217,7414,2179,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
7dc8ca27,2021-02-24,2622573,43053,2368008,21099046,5894907,3807558,1992596,6955,2012,NA,-2,-2,1,4,0,1,-1,3,2,1,1,-3,3,2,51.93,53.7,53.99,37.5,2,United States,Texas,NA,31.170604705,-99.6843408554231,28995881,USA,US,840,USD,48,ChIJSTKCCzZwQIYRPN4IGI8c6xY,Texas,US48,NA,USA.44_1
